Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
Mary Mother of The Church Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54268,624 Washington Ave,Charleroi,PA 15022 US,Diocese of Pittsburgh,https://www.parishesonline.com/find/mary-mother-of-the-church-15022,,,,,,,,,N,N
Our Lady of Charity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55386,231 Upland Rd.,Brookhaven,PA 19015 US,Archdiocese of Philadelphia,http://olcbrookhaven.org/,,,,,,,,,N,N
Holy Family Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54671,425 Bridge St,Seward,PA 15954 US,Diocese of Greensburg,https://www.parishesonline.com/find/holy-family-church-15954,,,,,,,,,N,N
St. Mark Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55267,1 St Mark Ln,Inkerman,PA 18640 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55267,,,,,,,,,N,N
St. Ignatius Loyola,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75852,2810 St. Albans Drive,Sinking Spring,PA 19608-1028 US,Diocese of Allentown,http://www.stignatiusreading.org,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54979,331 W Shamokin,Trevorton,PA 17881 US,Diocese of Harrisburg,https://www.hbgdiocese.org/parishes/st-patrick-trevorton/,,,,,,,,,N,N
St. Mary of The Mount Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55163,27 Fairview Ave,Mount Pocono,PA 18344 US,Diocese of Scranton,http://www.mht-poconos.org/,,,,,,,,,N,N
Sacred Heart Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=69637,154 Orchard Ave,Emsworth,PA 15202 US,Diocese of Pittsburgh,http://www.sacredheartavonworth.org,,,,,,,,,Y,N
Holy Family Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54308,225 N Second St,West Newton,PA 15089 US,Diocese of Greensburg,https://www.holyfamilywestnewton.org/,,,,,,,,,N,N
Ancient Order of Hibernian - Division 2,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=72678,1185 Haverford Rd,Crum Lynne,PA 19022 US,None,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=72678,,,,,,,,,N,N
St. Genevieve Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55407,1225 Bethlehem Pike,Flourtown,PA 19031 US,Archeparchy of Philadelphia,http://stgensparish.com/,,,,,,,,,N,N
St. Ignatius of Antioch Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54457,305 Grant Street,Bobtown,PA 15315 US,Diocese of Pittsburgh,https://diopitt.org/saint-ignatius-of-antioch-bobtown,,,,,,,,,N,N
Sacred Heart,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189751,838 Walnut St,Royersford,PA 19468 US,None,http://www.sacredheartroyersford.org,,,,,,,,,N,N
Sacred Heart School,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=27240,Lewis Road & Washington Street,Royersford,PA 19468 US,Archdiocese of Philadelphia,https://www.sacredheartroyersford.org/,,,,,,,,,N,N
St. Sylvester Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54568,3028 State Route 819,Slickville,PA 15684 US,Diocese of Greensburg,http://www.partnerparishesmas.org/,,,,,,,,,N,1
Parish of Immaculate Conception,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=11880,119 W Chestnut St.,Washington,PA 15301-4422 US,Diocese of Pittsburgh,http://www.icwashpa.net,,,,,,,,,N,N
St. Hilary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54453,320 Henderson Ave,Washington,PA 15301 US,Diocese of Pittsburgh,http://www.sthilaryparish.org/,,,,,,,,,N,N
SS Simon & Jude Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54583,155 N Brady St,Blairsville,PA 15717 US,Diocese of Greensburg,http://saintsimonandjude.org/,,,,,,,,,N,1
St. Isaac Jogues Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54278,1216 Collins Ave,Elrama,PA 15038 US,Diocese of Pittsburgh,http://www.sij.net/,,,,,,,,,N,1
St. Marcellus,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189683,1340 Jefferson Road-Route 88,Jefferson,PA 15344 US,None,https://diopitt.org/saint-marcellus-jefferson,,,,,,,,,N,N
St. Nicholas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55092,4112 Mountain View Dr,Walnutport,PA 18088 US,Diocese of Allentown,http://www.stnicholaswalnutport.parishesonline.com/scripts/HostedSites/Org.asp?ID=14165,,,,,,,,,N,N
Our Lady of Mt. Carmel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55169,15 Fallbrook St,Carbondale,PA 18407 US,Diocese of Scranton,http://olmc.weconnect.com/,,,,,,,,,N,N
St. Michael Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55170,6 North Church Street,Carbondale,PA 18407 US,Diocese of Scranton,http://www.strosecarbondale.4lpi.com,,,,,,,,,N,N
St. Rose of Lima Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=941,6 N Church St.,Carbondale,PA 18407-2323 US,Diocese of Scranton,http://www.strosecarbondale.4lpi.com,,,,,,,,,N,N
St. Margaret Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74575,701 Denver Street,Jamestown,PA 16134 US,Diocese of Erie,https://www.parishesonline.com/find/st-margaret-church-16134,,,,,,,,,N,N
Alvernia University,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189750,460 St. Bernardine St.,Reading,PA 19607 US,None,http://www.alvernia.edu/student-life/campus-ministry/index.html,,,,,,,,,N,N
